SOURCE PKS0408-65 4.13900 -65.75249
COEFF 1.8000000000000000e+01 3.0000000000000000e+00 -1.0458944031731271e-06
COEFF 1.8000000000000000e+01 4.0000000000000000e+00 -7.8917791660357200e-07
COEFF 1.8000000000000000e+01 5.0000000000000000e+00 1.3347028916937472e-06
COEFF 1.8000000000000000e+01 6.0000000000000000e+00 1.0409155003880255e-07
COEFF 1.8000000000000000e+01 7.0000000000000000e+00 -7.5519497703524036e-07
COEFF 1.9000000000000000e+01 0.0000000000000000e+00 5.6225902468303245e-07
COEFF 1.9000000000000000e+01 1.0000000000000000e+00 -7.6286121377884409e-07
COEFF 1.9000000000000000e+01 2.0000000000000000e+00 1.3840481200739043e-06
COEFF 1.9000000000000000e+01 3.0000000000000000e+00 -9.5978964314321265e-07
COEFF 1.9000000000000000e+01 4.0000000000000000e+00 -6.9458872170161967e-07
COEFF 1.9000000000000000e+01 5.0000000000000000e+00 1.1236726540218755e-06
COEFF 1.9000000000000000e+01 6.0000000000000000e+00 -1.2335669949252708e-07
COEFF 2.0000000000000000e+01 0.0000000000000000e+00 2.1378322726813699e-07
COEFF 2.0000000000000000e+01 1.0000000000000000e+00 -1.1927232800325667e-06
